x,f(x)
0,7705.94
0.5,3028.71
1,9672.53
1.5,6978.25
2,1544.31
2.5,5654.61
3,6889.87
3.5,4588.41
4,1617.97
4.5,124.615
5,8054.94
5.5,5634.89
6,5756.52
6.5,7284.53
7,5108.26
7.5,4747.75
8,5851.82
8.5,7256.22
9,3451.89
9.5,329.57
10,7575.72
10.5,4091.43
11,1625.33
11.5,346.696
12,1717.29
12.5,9470.31
13,8200.92
13.5,3326.39
14,8350.34
14.5,4413.89
15,590.458
15.5,6442.86
16,2088.85
16.5,6888.51
17,3670.2
17.5,1237.23
18,8132.34
18.5,5405.55
19,7328.87
19.5,5496.82
20,7068.19
20.5,7209.48
21,7052.98
21.5,3822
22,1843.57
22.5,3041.4
23,7002.35
23.5,4902.6
24,1792.38
24.5,2340.11
25,5276.89
25.5,3389.34
26,6746.11
26.5,5967.37
27,8209.33
27.5,518.739
28,1386.88
28.5,8560.61
29,222.511
29.5,2755.84
30,991.747
30.5,7821.75
31,7973.82
31.5,172.278
32,6268.24
32.5,3119.88
33,3206.19
33.5,8142.88
34,7370.55
34.5,1297.53
35,3161.78
35.5,1040.98
36,8838.11
36.5,6161.27
37,8782.11
37.5,3769.62
38,8037.95
38.5,6478.73
39,630.678
39.5,5918.94
40,3312.82
40.5,2506.97
41,1588.55
41.5,7147.64
42,719.813
42.5,1858.77
43,2378.58
43.5,1927.56
44,3443.97
44.5,3170.12
45,9801.41
45.5,6621.78
46,9289.02
46.5,7862.37
47,6512.4
47.5,1811.59
48,2571.87
48.5,242.924
49,4837.23
49.5,9676.67
50,8854.85
50.5,8692.81
51,1918.43
51.5,2257.7
52,8179.46
52.5,5437.13
53,1830.57
53.5,8936.45
54,2794.75
54.5,3517.69
55,6932.28
55.5,431.582
56,2440.23
56.5,5706.78
57,3510.96
57.5,2892.79
58,3207.44
58.5,6624.5
59,9339.27
59.5,7950.15
60,3075.25
60.5,3229.07
61,591.831
61.5,1950.04
62,5158.76
62.5,5432.25
63,6123.64
63.5,9812.89
64,6432.22
64.5,1913.06
65,1716.81
65.5,9287.88
66,3973.86
66.5,1959.16
67,8013.25
67.5,8242.59
68,5709.29
68.5,842.391
69,1091.46
69.5,7441.14
70,6596.96
70.5,5068.07
71,1757.87
71.5,2680.08
72,4546.29
72.5,9589.15
73,1741.94
73.5,5157.91
74,5966.2
74.5,7431.42
75,3458.9
75.5,9629.22
76,995.498
76.5,1044.08
77,7942.39
77.5,3801.01
78,1398.37
78.5,968.658
79,1210.03
79.5,7132.8
80,5795.76
80.5,5876.47
81,9953.34
81.5,646.321
82,3758.71
82.5,2384.61
83,9828.81
83.5,1341.13
84,6416.72
84.5,6556.52
85,3510.99
85.5,8793.41
86,1715.86
86.5,4834.27
87,960.075
87.5,1230.7
88,1204.5
88.5,1340.91
89,4215.91
89.5,2578.37
90,5699.28
90.5,1870.79
91,1543.78
91.5,6006.12
92,971.637
92.5,3432.97
93,9170.23
93.5,9312.94
94,2454.58
94.5,8000.32
95,5867.55
95.5,8118.45
96,5164.41
96.5,6588.65
97,3834.57
97.5,1944.5
98,5596.22
98.5,7017.68
99,2639.83
99.5,1174.74
100,511.765
100.5,472.52
101,7939.75
101.5,2801.12
102,2231.89
102.5,5081.37
103,2992.37
103.5,1102.82
104,1466.64
104.5,8223.9
105,6875.89
105.5,2261.36
106,1630.39
106.5,6990.01
107,823.489
107.5,1271.6
108,2341.2
108.5,8576.96
109,3686.25
109.5,2010.87
110,6896.56
110.5,7636.24
111,131.423
111.5,2355.99
112,1842.13
112.5,8766.97
113,542.97
113.5,9369.27
114,8854.86
114.5,3219.22
115,1755.8
115.5,1627.13
116,9857.89
116.5,6439.97
117,9383.63
117.5,7777.23
118,4428.21
118.5,1315.22
119,3408.33
119.5,3663.13
120,7253.49
120.5,7731.9
121,8660.38
121.5,4204.43
122,6552.35
122.5,6239.29
123,4731.92
123.5,7697.84
124,2637.46
124.5,879.195
125,5661.28
125.5,3027.35
126,1416.36
126.5,7196.41
127,7522.24
127.5,645.333
128,6911.1
128.5,9960.59
129,5818.27
129.5,247.698
130,4663.51
130.5,4141.82
131,2132.07
131.5,8351.04
132,1853.74
132.5,8174.6
133,4671.73
133.5,3944.45
134,3258.34
134.5,9108.29
135,5107.76
135.5,1507.26
136,9421.07
136.5,5031.77
137,4902.72
137.5,2757.18
138,9036.13
138.5,471.862
139,9022.52
139.5,5350.12
140,3061.4
140.5,3665.19
141,9604.6
141.5,6595.14
142,5836.82
142.5,5169.57
143,3719.1
143.5,5384.91
144,443.746
144.5,1004.32
145,5802.75
145.5,6417.03
146,8162.11
146.5,6342.31
147,1679.29
147.5,7438.36
148,6700.25
148.5,7397.27
149,9315.29
149.5,611.399
150,3628.83
150.5,1758.09
151,2646.46
151.5,5641.13
152,4807.52
152.5,6994.77
153,8133.81
153.5,20.3477
154,705.907
154.5,0.0626567
155,9724.77
155.5,5961.75
156,3148.11
156.5,8036.3
157,2276.08
157.5,2667.03
158,2023.19
158.5,6458.02
159,5867.94
159.5,4291.48
160,2136.18
160.5,9534.73
161,3536.31
161.5,1335.57
162,2206.39
162.5,1368.22
163,6824.96
163.5,7197.47
164,2594.99
164.5,9971.53
165,1966.51
165.5,1561.16
166,612.41
166.5,6191.22
167,3518.74
167.5,3586.3
168,1464.43
168.5,5208.89
169,8629.92
169.5,9535.91
170,8600.72
170.5,9072.56
171,9502.73
171.5,9018.34
172,3675.56
172.5,167.438
173,3274.99
173.5,5830.21
174,9300.85
174.5,8723.81
175,9164.94
175.5,8545.33
176,1362.31
176.5,1438.51
177,6277.07
177.5,8665.59
178,6109.37
178.5,5278.73
179,3671.64
179.5,5499.47
180,2961.11
180.5,5775.84
181,1871.35
181.5,7713.19
182,5484.82
182.5,259.106
183,7635.49
183.5,4850.26
184,7843.84
184.5,292.358
185,8581.16
185.5,7301.51
186,3324.42
186.5,2397.89
187,8120.04
187.5,1016.78
188,1946.52
188.5,2321.36
189,2040.93
189.5,660.737
190,9811.69
190.5,5274.2
191,3646.29
191.5,2766.47
192,4517.76
192.5,4962.14
193,9328.75
193.5,4457.69
194,2703.46
194.5,1502.33
195,8663.42
195.5,9365.04
196,9186.02
196.5,350.082
197,1722.06
197.5,2844.82
198,5437.16
198.5,19.7179
199,316.6
199.5,6148.15
200,1510.77
200.5,6107.31
201,3822.57
201.5,4528.88
202,7299.52
202.5,1422.56
203,1073.14
203.5,9684.42
204,1319.47
204.5,1280.38
205,8926.66
205.5,6069.31
206,388.291
206.5,2328.68
207,1672.7
207.5,683.144
208,4847.87
208.5,6832.57
209,1413.42
209.5,9073.86
210,2305.27
210.5,2487.54
211,2191.52
211.5,6529.55
212,2256.99
212.5,913.529
213,79.0594
213.5,8617.96
214,6912.3
214.5,2576.62
215,9471.71
215.5,2812.86
216,1990.9
216.5,9018.77
217,6105.2
217.5,8278.23
218,196.26
218.5,8903.22
219,6420.54
219.5,8659.03
220,942.017
220.5,8612.75
221,5186.29
221.5,4857.35
222,54.8941
222.5,1663.52
223,5535.69
223.5,9754.57
224,6901.66
224.5,6895.95
225,2711.48
225.5,4208.96
226,2343.15
226.5,4215.02
227,1022.4
227.5,4307.54
228,4614.33
228.5,6325.57
229,7578.67
229.5,4226
230,5661.97
230.5,4328.24
231,6030.59
231.5,4751.58
232,2314.01
232.5,5148.11
233,9788.18
233.5,4255.26
234,6698.12
234.5,1969.6
235,7822.89
235.5,1947.42
236,1454.93
236.5,7309.06
237,4878.91
237.5,7647.67
238,281.228
238.5,6568.79
239,1097.31
239.5,7782.19
240,4440.13
240.5,1541.41
241,5939.87
241.5,8349.45
242,6022.32
242.5,1995.63
243,4878.55
243.5,7001.75
244,4090.71
244.5,9005.91
245,1748.54
245.5,9238.9
246,5589.07
246.5,4862.88
247,5325.63
247.5,5934.98
248,1582.7
248.5,7185.41
249,4069.77
249.5,110.114
250,586.726
250.5,9771.16
251,2407.94
251.5,3616
252,8207.26
252.5,3146.04
253,3337.83
253.5,6456.55
254,3696.21
254.5,1532.05
255,466.009
255.5,6078.55
256,5677.51
256.5,4167.42
257,6332.35
257.5,6962.6
258,2457.04
258.5,8314.07
259,6458.6
259.5,7295.12
260,3348.94
260.5,9650.72
261,5919.94
261.5,268.041
262,5538.02
262.5,2902
263,4974.98
263.5,3021.91
264,73.3731
264.5,7533.16
265,4286.37
265.5,56.4456
266,4527.56
266.5,4391.23
267,6729.95
267.5,5519.91
268,4074.36
268.5,4956.59
269,2949.7
269.5,8635.32
270,3339.77
270.5,8663.05
271,1101.49
271.5,144.928
272,8703.89
272.5,934.018
273,9096.2
273.5,7578.51
274,8493.59
274.5,9954.58
275,3465.09
275.5,2310.68
276,5493.73
276.5,893.411
277,1987.5
277.5,9297.4
278,4947.4
278.5,3626.81
279,7554.22
