x,f(x)
0,-9
0.25,-8.07812
0.5,-7.125
0.75,-5.85938
1,-4
1.25,-1.26562
1.5,2.625
1.75,7.95312
2,15
2.25,24.0469
2.5,35.375
2.75,49.2656
3,66
3.25,85.8594
3.5,109.125
3.75,136.078
4,167
4.25,202.172
4.5,241.875
4.75,286.391
5,336
5.25,390.984
5.5,451.625
5.75,518.203
6,591
6.25,670.297
6.5,756.375
6.75,849.516
7,950
7.25,1058.11
7.5,1174.12
7.75,1298.33
8,1431
8.25,1572.42
8.5,1722.88
8.75,1882.64
9,2052
9.25,2231.23
9.5,2420.62
9.75,2620.45
10,2831
10.25,3052.55
10.5,3285.38
10.75,3529.77
11,3786
11.25,4054.36
11.5,4335.12
11.75,4628.58
12,4935
12.25,5254.67
12.5,5587.88
12.75,5934.89
13,6296
13.25,6671.48
13.5,7061.62
13.75,7466.7
14,7887
14.25,8322.8
14.5,8774.38
14.75,9242.02
15,9726
15.25,10226.6
15.5,10744.1
15.75,11278.8
16,11831
16.25,12400.9
16.5,12988.9
16.75,13595.1
17,14220
17.25,14863.7
17.5,15526.6
17.75,16209
18,16911
18.25,17633
18.5,18375.4
18.75,19138.3
19,19922
19.25,20726.9
19.5,21553.1
19.75,22401.1
20,23271
20.25,24163.2
20.5,25077.9
20.75,26015.4
21,26976
21.25,27960
21.5,28967.6
21.75,29999.2
22,31055
22.25,32135.3
22.5,33240.4
22.75,34370.5
23,35526
23.25,36707.1
23.5,37914.1
23.75,39147.3
24,40407
24.25,41693.4
24.5,43006.9
24.75,44347.6
25,45716
25.25,47112.2
25.5,48536.6
25.75,49989.5
26,51471
26.25,52981.5
26.5,54521.4
26.75,56090.8
27,57690
27.25,59319.4
27.5,60979.1
27.75,62669.6
28,64391
28.25,66143.7
28.5,67927.9
28.75,69743.9
29,71592
29.25,73472.5
29.5,75385.6
29.75,77331.7
30,79311
30.25,81323.8
30.5,83370.4
30.75,85451
31,87566
31.25,89715.6
31.5,91900.1
31.75,94119.8
32,96375
32.25,98665.9
32.5,100993
32.75,103356
33,105756
33.25,108193
33.5,110667
33.75,113178
34,115727
34.25,118314
34.5,120939
34.75,123603
35,126306
35.25,129048
35.5,131829
35.75,134650
36,137511
36.25,140412
