x,f(x)
1315.38,4586.5
2189.59,6788.65
9346.93,5194.16
345.721,5297
76.9819,668.422
6867.73,9304.36
5269.29,6539.19
7011.91,7621.98
474.645,3282.34
7564.1,3653.39
9825.5,7533.56
726.859,8847.07
4364.11,4777.32
2749.07,1665.07
8976.56,605.643
5045.23,3190.33
4939.77,907.329
737.491,3841.42
9138.17,4644.46
500.84,7702.05
1253.65,6884.55
6295.43,7254.12
8885.72,3063.22
5132.74,8459.82
8415.11,4153.95
4679.17,1783.28
5716.55,330.538
4984.8,7482.93
8907.37,8420.4
2127.52,1304.27
2745.88,4142.93
7098.2,2399.11
3175.4,6520.59
6813.46,3877.25
1475.33,8455.76
9554.09,1481.52
4087.67,5648.99
4885.15,9610.95
1997.57,6292.69
6512.54,8030.73
4764.32,2032.5
9016.73,1420.21
4103.13,8856.48
1621.99,3653.39
1351.09,4553.07
4523,9316.74
2152.48,9089.22
8608.6,5059.56
8175.61,4622.45
6327.39,8246.97
7022.07,9544.15
2893.16,5144.35
4140.28,8765.66
7297.48,7156.42
7065.35,190.924
5249.87,651.939
4889.43,6820.49
9166.34,8900.19
1391.95,9893.62
4460.23,5146.59
4397.26,8066.5
2115.19,1536.04
6163.5,8.78999
7273.35,4177.24
6805.62,8364.2
8287.08,817.376
6295.72,2135.47
3888.23,9475.45
2692.15,2840.35
7838.65,2821.56
113.162,9832.36
8197.26,3981.44
1768.8,1577.31
2571.69,1016.37
6347.17,7947.7
7529.4,6334.3
5982.17,3187.78
1174.37,5261.23
5879.89,7029.89
1616.88,8602.26
5568.36,3160.07
5285.48,5881.19
4308.48,3702.26
4468.66,3878.31
782.632,2539.22
6762.37,7286.08
9447.53,9401.63
4604.34,6613.55
6056.4,1503.94
3438.18,5228.08
149.506,6429.79
9178.48,9700.87
8439.75,4557.52
220.837,7069.5
4366.38,7517.1
6956.79,7538.63
42.5392,799.169
9033.01,7466.79
63.4169,5184.78
5440.23,2158.26
6268.61,7093.2
2802.89,3719.1
3101.69,1037.97
7758.8,552.788
1602.74,2970.22
4778.04,5199.88
1503.12,8336.82
5777.76,3311.75
9868.83,16.5742
293.555,4896.52
7389.59,5362.67
1225.07,1882.76
6141.26,1259.33
9540.28,8381.02
2590.14,4243.36
8979.14,7606.17
4518.51,6655.03
2095.62,5469.75
1759.74,4319.08
6874.14,8362.07
9733.46,803.531
7694.37,2501.55
7691.14,7492.52
6816.66,363.676
2216.67,6526.22
3714.66,2336.91
1659.28,1597.58
6619.94,9491.57
6210.46,179.445
7218.72,536.944
5191.75,653.563
9771.8,3290.56
7432.74,1713.79
9397.25,2549.57
1238.49,1600.83
1051.85,3685.62
3272.28,5767.76
7582.46,6997.91
9352.42,3620.84
4550.72,2404.4
4215.79,2897.66
2163.86,5274.39
8636.43,7115.64
3828.22,4597.63
7953.53,32.2878
6646.89,1868.25
1340.39,9460.45
6060.01,3474.92
5096.58,8343.38
3294.34,6317.63
414.204,7670.65
5193.03,2205.16
889.927,7064.61
2617.79,3783.66
2326.08,4694.98
9772.38,342.431
316.388,5915.88
3295.79,5365.28
4035.81,9669.1
8675.14,1483.9
6395.23,9319.15
8154.07,5728.07
9452.5,1554.14
3436.13,965.383
224.05,8568.76
6745.25,6984.6
1919.84,3458.72
1407.1,2216.56
5860.16,263.397
7623.44,773.243
9255.03,4304.46
8312.56,6016.38
5193.37,1614.19
5743.6,5314.27
6670.49,5487.36
6679.65,5715.83
4413.13,5022.75
316.565,5220.63
350.595,1071.81
5518.29,6111.11
7720.3,4866.81
6969.96,4868.5
7104.5,2766.47
2801.04,5304.9
2354.03,5974.76
9202.52,8211.77
2302.7,8995.21
6515.15,9359.36
8587.66,9524.31
1229.5,7024.71
1077.39,998.656
3445.76,7576.21
3307.58,5731.83
2024.82,9743.48
4918.41,8049.12
1595.8,1492.51
3806.08,4241.34
6512.95,601.425
8976.57,9012.18
1707.96,314.038
5222.15,2771.98
5868.62,8118.95
9398.71,5798.63
8807.84,1895.49
