x,f(x)
21.0866,27314
20.0872,23579.8
43.5175,243615
61.0766,676286
48.4042,335727
37.4787,155265
63.2216,750333
58.8875,605911
73.0505,1.15909e+006
39.4086,180651
45.5034,278683
86.2064,1.90741e+006
25.5811,49004.8
91.332,2.26922e+006
82.9557,1.69917e+006
65.0235,816562
80.5329,1.55424e+006
42.1754,221662
47.1175,309550
54.5741,481873
46.5886,299198
18.0156,16955.5
26.0832,51970.3
72.9965,1.15651e+006
9.19028,2187.5
1.35495,0.210686
63.6717,766529
34.8629,124819
2.8263,54.0583
21.2604,28001.5
7.03486,964.612
94.461,2.51112e+006
52.8862,438368
40.5551,196968
20.346,24511.8
32.1973,98179.6
32.0638,96956.5
86.1693,1.90495e+006
41.2936,207982
61.3595,685759
20.2792,24269
23.9944,40378.5
94.1157,2.48362e+006
57.1397,553363
47.3923,315022
43.7572,247681
69.8087,1.01111e+006
7.28611,1074.37
21.051,27174.9
20.301,24347.9
23.4792,37812.7
25.9047,50903
29.5044,75419.8
61.3369,685001
3.23566,84.6305
46.4383,296299
47.7526,322294
10.2171,3022.76
19.3621,21094.6
33.5484,111150
34.1085,116845
73.7846,1.19448e+006
63.6331,765131
94.6933,2.52973e+006
70.7687,1.05353e+006
77.873,1.40489e+006
47.997,327289
28.09,65018.6
64.7777,807308
8.35776,1636.15
12.9568,6232.64
84.8163,1.8164e+006
22.3619,32626.6
84.7148,1.80987e+006
68.0395,935945
28.7243,69556
83.8178,1.75284e+006
53.2377,447203
69.283,988373
31.2656,89850.8
41.5849,212438
58.0595,580622
79.0252,1.46835e+006
42.1164,220730
92.7995,2.38064e+006
20.9688,26854.7
17.0976,14469
79.9559,1.52098e+006
62.146,712562
65.0956,819292
91.0578,2.2488e+006
40.9077,202178
32.0328,96673.9
22.4414,32978.9
81.0499,1.58445e+006
19.3685,21115.9
78.6735,1.44878e+006
26.4576,54258.3
99.1112,2.90146e+006
87.1595,1.97154e+006
24.757,44385.4
74.8841,1.24884e+006
13.271,6703.73
35.2375,128910
61.9022,704181
19.0324,20025.2
74.6601,1.23764e+006
28.8689,70619.1
46.9318,305888
77.9903,1.41126e+006
52.0686,418274
91.4201,2.27581e+006
14.714,9173.65
85.7163,1.87498e+006
33.3433,109112
16.8849,13930
94.4739,2.51215e+006
69.5658,1.00056e+006
33.2894,108581
66.4215,870551
98.9735,2.88936e+006
48.175,330959
49.3282,355409
6.12989,631.371
4.83768,303.195
74.4346,1.22642e+006
74.1266,1.21122e+006
18.9805,19860
28.8497,70476.9
25.4738,48385.9
38.6194,169960
35.1037,127439
15.4381,10614.5
27.1473,58646.2
30.875,86504.2
31.111,88516.4
53.0191,441696
19.8169,22631.8
68.4645,953650
5.54708,463.7
11.2654,4071.28
52.826,436868
56.2593,528085
39.7947,186042
5.58282,473.009
10.1978,3005.39
58.7211,600770
30.0181,79455.6
71.0414,1.06579e+006
98.4077,2.83998e+006
12.8708,6107.55
61.2897,683413
13.9165,7744.98
5.29348,401.116
26.7688,56210
81.1899,1.59269e+006
76.1727,1.31462e+006
92.2105,2.33549e+006
54.8661,489679
64.6543,802689
28.2961,66470.6
68.1069,938737
3.41916,101.212
8.38079,1649.99
34.5648,121626
66.253,863922
77.7707,1.39934e+006
30.3983,82533.7
3.55753,114.991
22.6662,33988.9
83.6708,1.74361e+006
22.7827,34520
24.7287,44232.6
44.0192,252179
22.6926,34108.9
14.9378,9604.05
37.2103,151935
36.5058,143423
75.5547,1.28279e+006
49.4653,358394
47.97,326736
43.1189,236950
60.6817,663207
11.2879,4096.09
94.3878,2.50527e+006
15.4742,10690
49.7943,365622
92.0962,2.3268e+006
37.0862,150412
34.0713,116461
54.7466,486472
3.78665,140.357
7.63836,1241.83
10.362,3155.46
87.7378,2.01114e+006
19.1954,20549.3
19.3979,21212.9
0.0390865,-8.84653
79.3998,1.48939e+006
37.1784,151542
30.4943,83322.9
42.9451,234082
71.8916,1.10464e+006
15.6137,10985.2
3.44182,103.392
15.9181,11648.2
68.0447,936162
83.6802,1.7442e+006
21.8983,30622.6
99.3635,2.92372e+006
89.6544,2.14618e+006
53.6818,458531
25.7593,50044.1
50.3957,379087
62.1122,711398
26.0026,51486.8
56.4466,533399
87.7418,2.01142e+006
11.1592,3955.42
56.0701,522757
85.8372,1.88295e+006
81.5462,1.61381e+006
69.6441,1.00395e+006
5.57143,470.03
47.8893,325082
31.4363,91340.3
4.08383,178.306
30.3564,82190.6
91.3822,2.27297e+006
91.3054,2.26723e+006
66.7911,885211
10.5106,3295.48
27.7505,62672.7
8.378,1648.31
34.2999,118835
14.321,8449.43
34.3997,119881
98.1841,2.82062e+006
81.2875,1.59846e+006
54.5349,480829
26.548,54820.5
14.7019,9150.87
7.898,1375.83
49.9621,369346
14.0367,7949.97
46.3981,295525
67.6011,917916
68.6238,960341
7.7019,1273.78
17.3143,15032.4
90.0155,2.17228e+006
56.1189,524128
74.6882,1.23904e+006
64.0443,780110
55.4895,506626
68.3833,950250
72.8274,1.14847e+006
64.3791,792449
97.5712,2.76802e+006
23.6469,38635.7
24.0401,40611.6
61.1582,679011
38.3564,166493
6.36515,709.086
34.0869,116622
73.0299,1.1581e+006
80.9719,1.57987e+006
76.0314,1.30729e+006
19.4519,21392.4
1.37849,0.571822
36.0996,138662
95.9904,2.63536e+006
87.687,2.00764e+006
15.5968,10949.2
59.8729,636951
5.67187,496.742
41.1811,206279
0.206292,-8.23361
89.7564,2.15353e+006
65.6183,839254
99.6556,2.94964e+006
18.7875,19254.4
32.4843,100846
87.2816,1.97986e+006
73.3987,1.17579e+006
17.7993,16345.9
69.6243,1.0031e+006
46.222,292159
35.9165,136551
6.31113,690.706
54.2941,474464
12.5285,5626.78
94.6496,2.52622e+006
72.462,1.13122e+006
30.4854,83249.7
80.4008,1.54658e+006
31.1761,89076.5
1.84882,10.5177
11.0206,3807.63
91.7783,2.30273e+006
36.6621,145284
62.6766,731034
98.6118,2.85772e+006
10.3488,3143.24
41.8694,216849
71.6025,1.09132e+006
62.6778,731077
72.4647,1.13134e+006
35.3391,130035
23.7478,39136.2
64.2259,786788
34.3944,119826
40.9353,202589
20.924,26681.5
8.06378,1466.24
12.6887,5848.5
80.5826,1.55713e+006
31.1554,88897.8
52.3617,425404
38.7534,171744
14.7887,9315.89
6.72549,840.062
32.0846,97146.6
81.2334,1.59526e+006
26.1934,52637.1
67.9536,932394
7.62838,1236.86
60.9487,672033
39.4603,181367
66.9549,891759
11.9212,4837.02
27.2004,58993.6
28.2973,66478.8
53.1334,444570
66.2505,863824
47.72,321631
42.2149,222289
